Group,Current_Mean,animal,fw_aquaculture,Current_SD,Current_SE,Current_Mean_scaled,Current_SD_scaled,Current_SE_scaled,ID
shads,114,NA,NA,26,1,0,0,0,Aquaculture
cods,1318,marine-fish-general,NA,354,16,0.001,0,0,Aquaculture
smelts,13930,salmon,NA,5732,256,0.01,0.01,0,Aquaculture
tunas,124585,tuna,NA,58392,2611,0.12,0.06,0,Aquaculture
diadromous fishes,128957,NA,milkfish,31842,1424,0.13,0.03,0,Aquaculture
diadromous fishes,128957,NA,misc_diad,31842,1424,0.13,0.03,0,Aquaculture
flatfishes,158453,marine-fish-general,NA,36744,1643,0.16,0.04,0,Aquaculture
marine crustaceans,248667,crustaceans,NA,53891,2410,0.25,0.05,0,Aquaculture
eels,460298,NA,NA,71956,3218,0.46,0.07,0,Aquaculture
tilapias,513411,NA,tilapia,188858,8446,0.51,0.19,0.01,Aquaculture
poultry,530020,chickens,NA,97219,4348,0.53,0.1,0,Agriculture
trouts,698684,NA,trout,208243,9313,0.7,0.21,0.01,Aquaculture
fw crustaceans,845431,NA,NA,239670,10718,0.85,0.24,0.01,Aquaculture
marine fishes,1753579,marine-fish-general,NA,386946,17305,1.75,0.39,0.02,Aquaculture
shrimps,2086368,shrimp,NA,400745,17922,2.09,0.4,0.02,Aquaculture
salmons,2101278,salmon,NA,638556,28557,2.1,0.64,0.03,Aquaculture
carps,2195075,NA,hypoph_carp,678566,30346,2.2,0.68,0.03,Aquaculture
carps,2195075,NA,oth_carp,678566,30346,2.2,0.68,0.03,Aquaculture
fw fishes,3118737,NA,catfish,720461,32220,3.12,0.72,0.03,Aquaculture
pigs,3959808,pigs,NA,748725,33484,3.96,0.75,0.03,Agriculture
