production_type,environment,group,stressor_group,mel_notes,isscaap_group,isscaap_code,notes
aquaculture,freshwater,Silver and bighead carp,hypoph_carp,"taxa_name %in% c(""Bighead carp"", ""Silver carp"", ""Silver, bighead carps nei"")","Carps, barbels and other cyprinids",11,Remove from ISSCAAP carps group
aquaculture,freshwater,"Other Carps, barbels and other cyprinids",oth_carp,"ISSCAAP_Group_En %in% ""Carps, barbels and other cyprinids""), minus the silver and bighead carp","Carps, barbels and other cyprinids",11,match all remaining carps to Other carps; Assume fed
aquaculture,freshwater,Tilapias and other cichlids,tilapia,"ISSCAAP_Group_En %in% ""Tilapias and other cichlids"")",Tilapias and other cichlids,12,Matches ISSCAAP
aquaculture,freshwater,Catfish,catfish,"ISSCAAP_Group_En == ""Miscellaneous freshwater fishes""",Miscellaneous freshwater fishes,13,
aquaculture,freshwater,Trouts,trout,"ISSCAAP_Group_En == ""Salmons, trouts, smelts"" (freshwater only)","Salmons, trouts, smelts",23,freshwater salmonids - remove from ISSCAAPsalmons group
aquaculture,diadromous,Miscellaneous diadromous fishes,misc_diad,"ISSCAAP_Group_En == ""Miscellaneous diadromous fishes"", minus milkfish",Miscellaneous diadromous fishes,25,Matches ISSCAAP
aquaculture,brackish,Milkfish,milkfish,"taxa_name %in% c(""Milkfish"")",Miscellaneous marine fishes,39,Remove from misc marine fishes
aquaculture,marine,Salmon,NA,,"Salmons, trouts, smelts",23,match all non-trouts in ISSCAAP salmon group
aquaculture,marine,Other miscellaneous marine fishes,NA,,Miscellaneous marine fishes,39,
aquaculture,freshwater,Freshwater crustaceans,NA,,Freshwater crustaceans,41,Matches ISSCAAP
aquaculture,marine,Marine crabs and lobsters,NA,,"Sea-spiders, crabs; Lobsters, spiny-rock lobsters; Squat-lobsters",42; 43; 44,Matches ISSCAAP
aquaculture,brackish,Marine shrimps and prawns,NA,,"Shrimps, prawns",45,Matches ISSCAAP
aquaculture,marine,Miscellaneous marine crustaceans,NA,,Miscellaneous marine crustaceans,47,
aquaculture,marine,Bivalves,NA,No freshwater bivalve pressures; but there is freshwater bivalve harvest,"Oysters; Mussels; Scallops, pectens; Clams, cockles, arkshells",53; 54; 55; 56,
aquaculture,marine,Other molluscs,NA,,"Squids, cuttlefishes, octopuses; Miscellaneous marine molluscs",57; 58,
aquaculture,marine,Aquatic plants,NA,,Aquatic plants,9,
fisheries,,Small pelagic fishes,NA,,"Herrings, sardines, anchovies",35,"Some from 37 (mackerels) would also be relevant, but I don't think we need to go to the work."
fisheries,,Large pelagic fishes,NA,,"Tunas, bonitos, billfishes",36,"Some from 37 (mackerels) would also be relevant, but I don't think we need to go to the work."
fisheries,,Other finfish,NA,,"Cods, hakes, haddocks; Redfishes, basses, congers; Jacks, mullets, sauries; Miscellaneous marine fishes",32; 33; 34; 39,"I want to say ""Demersal finfish"" but probably not entirely accurate. Not sure how much data will fit under the ""misc"" group"
fisheries,,Flatfishes,NA,,"Flounders, halibuts, soles",31,
fisheries,,Cephalopods,NA,,"Squids, cutlefishes, octopuses",57,
fisheries,,Bivalves,NA,,"Oysters; Mussels; Scallops, pectens; Clams, cockles, arkshells",53; 54; 55; 56,Some of these won't actually have much if any fisheries data (e.g. oysters)
fisheries,,Shrimps and prawns,NA,,"Shrimps, prawns",45,
fisheries,,Lobsters and crabs,NA,,"Sea-spiders, crabs; Lobsters, spiny-rock lobsters; Squat lobsters",42; 43; 44,Don't think there's any data for squat lobsters
fisheries,,Salmonids,NA,,"Salmons, trouts, smelts",23,"Less data here and they're older, but it would provide useful comparison for the farmed salmonids"
