Area Code,Area,yield_ton_per_cow,yield_ton_per_chicken,yield_ton_per_goat,yield_ton_per_sheep,yield_ton_per_pig
2,Afghanistan,0.18,8e-4,0.013,0.016,0.0658528735632184
3,Albania,0.1188,0.0010918,0.0151,0.012,0.057
4,Algeria,0.231,0.001,0.01,0.02,0.0382
7,Angola,0.1679,9e-4,0.0156,0.0156,0.0735
8,Antigua and Barbuda,0.1875,0.0012105,0.0142,0.0154,0.0505
9,Argentina,0.2255,0.0029303,0.0066,0.018,0.0881
1,Armenia,0.1224,0.0010476,0.0149,0.0158,0.0823
10,Australia,0.2787,0.0018838,0.0158,0.0232,0.077
11,Austria,0.3345,0.001434,0.0125,0.0246,0.0987
52,Azerbaijan,0.1118,0.0011792,0.014036842105263158,0.0146,0.0518
12,Bahamas,0.1712,0.0012037,0.0119,0.014,0.0499
13,Bahrain,0.1199,0.0010293,0.015,0.018,0.0658528735632184
16,Bangladesh,0.0716,6.995e-4,0.0074,0.0075,0.0658528735632184
14,Barbados,0.1842,0.0016235,0.0142,0.0335,0.0761
57,Belarus,0.2013,0.0010074,0.014036842105263158,0.0171,0.0757
255,Belgium,0.306,0.0015153,0.0177,0.0212,0.0954
23,Belize,0.204,0.0016551,0.0128,0.0205,0.0544
53,Benin,0.2041,5.5e-4,0.01,0.01,0.03
18,Bhutan,0.103,0.0013625,0.0089,0.0099,0.0466
19,Bolivia (Plurinational State of),0.1949,0.0027727,0.0244,0.0199,0.0522
80,Bosnia and Herzegovina,0.2244,0.0015326,0.014036842105263158,0.0155,0.0715
20,Botswana,0.2,8.517e-4,0.012,0.014,0.0398
21,Brazil,0.3094,0.0023289,0.0115,0.016,0.0886
26,Brunei Darussalam,0.2302,0.0015142,0.0098,0.0208,0.0353
27,Bulgaria,0.1457,0.001738,0.0103,0.0104,0.0676
233,Burkina Faso,0.0896,8e-4,0.006,0.006,0.03
29,Burundi,0.2046,9e-4,0.0128,0.012,0.0738
35,Cabo Verde,0.1541,0.0012704,0.0292,0.0148,0.05
115,Cambodia,0.12,0.001,0.014036842105263158,0.01714388888888889,0.0471
32,Cameroon,0.105,8e-4,0.0099,0.0109,0.031
33,Canada,0.3544,0.0016758,0.014036842105263158,0.0227,0.0978
37,Central African Republic,0.1573,9.185e-4,0.0205,0.0161,0.0329
39,Chad,0.12,7.98e-4,0.012,0.018,0.0301
40,Chile,0.2612,0.0021935,0.018,0.0147,0.1006
351,China,0.1464,0.0013958,0.0157,0.0149,0.0779
96,"China, Hong Kong SAR",0.2986,0.0015097,0.011,0,0.08
128,"China, Macao SAR",0.3829,9e-4,0.0088,0.01714388888888889,0.0861
41,"China, mainland",0.1462,0.001387,0.0157,0.0149,0.0777
214,"China, Taiwan Province of",0.2002,0.0016566,0.0277,0.01714388888888889,0.1021
44,Colombia,0.2234,0.0019995,0.0169,0.016,0.0851
45,Comoros,0.11,8.003e-4,0.01,0.015,0.0658528735632184
46,Congo,0.156,0.001,0.0106,0.01,0.0484
47,Cook Islands,0.1111,7.917e-4,0.0157,0.01714388888888889,0.03
48,Costa Rica,0.23,0.0018778,0.0127,0.0145,0.0735
107,C?te d'Ivoire,0.1471,0.0010316,0.0094,0.0141,0.0393
98,Croatia,0.2333,0.0011311,0.0116,0.0116,0.0712
49,Cuba,0.1646,0.0015189,0.0157,0.016,0.0586
50,Cyprus,0.3077,0.002,0.0214,0.0202,0.0751
167,Czechia,0.2934,0.0013142,0.0086,0.0229,0.0901
116,Democratic People's Republic of Korea,0.15,0.0011,0.015,0.015,0.05
250,Democratic Republic of the Congo,0.1839,6.3e-4,0.0116,0.01,0.0452
54,Denmark,0.2631,0.0014966,0.014036842105263158,0.0207,0.0877
72,Djibouti,0.1075,0.0013697576530612245,0.0125,0.0104,0.0658528735632184
55,Dominica,0.18,0.001,0.012,0.0141,0.06
