reporter,reporter_iso,partner,partner_iso,commodity_code,commodity,qty,netweight_kg,avg_weight
Bosnia Herzegovina,BIH,World,WLD,010221,"Cattle; live, pure-bred breeding animals",438,260177,594.0114155251141
Rep. of Korea,KOR,World,WLD,010221,"Cattle; live, pure-bred breeding animals",495,4320,8.727272727272727
United Kingdom,GBR,World,WLD,010221,"Cattle; live, pure-bred breeding animals",1840,1056565,574.2201086956521
Bosnia Herzegovina,BIH,World,WLD,010229,"Cattle; live, other than pure-bred breeding animals",39022,16120733,413.1190866690585
United Kingdom,GBR,World,WLD,010229,"Cattle; live, other than pure-bred breeding animals",12937,3987420,308.21828862951224
United Kingdom,GBR,World,WLD,010310,"Swine; live, pure-bred breeding animals",499,28040,56.192384769539075
Bosnia Herzegovina,BIH,World,WLD,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",27073,744227,27.48963912385033
United Kingdom,GBR,World,WLD,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",65357,1534455,23.478051318144956
Bosnia Herzegovina,BIH,World,WLD,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",3334,410483,123.12027594481104
Rep. of Korea,KOR,World,WLD,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",1157,10255,8.86343993085566
United Kingdom,GBR,World,WLD,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",441496,40174162,90.99552883831338
Bosnia Herzegovina,BIH,World,WLD,010410,Sheep; live,50782,2300017,45.291973533929344
United Kingdom,GBR,World,WLD,010410,Sheep; live,23,1668,72.52173913043478
Bosnia Herzegovina,BIH,World,WLD,010420,Goats; live,101,600,5.9405940594059405
United Kingdom,GBR,World,WLD,010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",46758078,2558071,0.05470864307125712
Bosnia Herzegovina,BIH,World,WLD,010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",159523,822517,5.156102881716116
United Kingdom,GBR,World,WLD,010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",2332009,5910520,2.534518520297306
State of Palestine,PSE,World,WLD,010221,"Cattle; live, pure-bred breeding animals",4336,2040654,470.63053505535055
Rep. of Moldova,MDA,World,WLD,010221,"Cattle; live, pure-bred breeding animals",95,52240,549.8947368421053
State of Palestine,PSE,World,WLD,010229,"Cattle; live, other than pure-bred breeding animals",81311,24200793,297.63246055269275
Rep. of Moldova,MDA,World,WLD,010229,"Cattle; live, other than pure-bred breeding animals",1,150,150
Rep. of Moldova,MDA,World,WLD,010310,"Swine; live, pure-bred breeding animals",2904,338920,116.70798898071625
Rep. of Moldova,MDA,World,WLD,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",30155,690980,22.914276239429615
Rep. of Moldova,MDA,World,WLD,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",1080,111620,103.35185185185185
