Area Code,Area,Item Code,Item,Element Code,Element,Year,Unit,num_heads
2,Afghanistan,867,"Meat, cattle",5320,Producing Animals/Slaughtered,2017,Head,638865
2,Afghanistan,1058,"Meat, chicken",5321,Producing Animals/Slaughtered,2017,Head,34618000
2,Afghanistan,1017,"Meat, goat",5320,Producing Animals/Slaughtered,2017,Head,3463332
2,Afghanistan,977,"Meat, sheep",5320,Producing Animals/Slaughtered,2017,Head,7046244
3,Albania,867,"Meat, cattle",5320,Producing Animals/Slaughtered,2017,Head,328425
3,Albania,1058,"Meat, chicken",5321,Producing Animals/Slaughtered,2017,Head,11826000
3,Albania,1017,"Meat, goat",5320,Producing Animals/Slaughtered,2017,Head,642374
3,Albania,1035,"Meat, pig",5320,Producing Animals/Slaughtered,2017,Head,203002
3,Albania,977,"Meat, sheep",5320,Producing Animals/Slaughtered,2017,Head,1375356
4,Algeria,867,"Meat, cattle",5320,Producing Animals/Slaughtered,2017,Head,720000
4,Algeria,1058,"Meat, chicken",5321,Producing Animals/Slaughtered,2017,Head,263976000
4,Algeria,1017,"Meat, goat",5320,Producing Animals/Slaughtered,2017,Head,1882240
4,Algeria,1035,"Meat, pig",5320,Producing Animals/Slaughtered,2017,Head,2906
4,Algeria,977,"Meat, sheep",5320,Producing Animals/Slaughtered,2017,Head,16290048
7,Angola,867,"Meat, cattle",5320,Producing Animals/Slaughtered,2017,Head,619752
7,Angola,1058,"Meat, chicken",5321,Producing Animals/Slaughtered,2017,Head,44861000
7,Angola,1017,"Meat, goat",5320,Producing Animals/Slaughtered,2017,Head,1289297
7,Angola,1035,"Meat, pig",5320,Producing Animals/Slaughtered,2017,Head,1715150
7,Angola,977,"Meat, sheep",5320,Producing Animals/Slaughtered,2017,Head,279064
8,Antigua and Barbuda,867,"Meat, cattle",5320,Producing Animals/Slaughtered,2017,Head,800
8,Antigua and Barbuda,1058,"Meat, chicken",5321,Producing Animals/Slaughtered,2017,Head,19000
8,Antigua and Barbuda,1017,"Meat, goat",5320,Producing Animals/Slaughtered,2017,Head,915
8,Antigua and Barbuda,1035,"Meat, pig",5320,Producing Animals/Slaughtered,2017,Head,1308
8,Antigua and Barbuda,977,"Meat, sheep",5320,Producing Animals/Slaughtered,2017,Head,712
9,Argentina,867,"Meat, cattle",5320,Producing Animals/Slaughtered,2017,Head,12616936
9,Argentina,1058,"Meat, chicken",5321,Producing Animals/Slaughtered,2017,Head,722119000
9,Argentina,1017,"Meat, goat",5320,Producing Animals/Slaughtered,2017,Head,1095690
9,Argentina,1035,"Meat, pig",5320,Producing Animals/Slaughtered,2017,Head,6425216
9,Argentina,977,"Meat, sheep",5320,Producing Animals/Slaughtered,2017,Head,2811042
