iso3c,country_name,stressor_group,tonnes_lw,pressure,pressure_per_tonne,stressor_value
CHN,China,oth_carp,13080561,disturbance,6.90874724869731e-4,9037.028982016735
CHN,China,oth_carp,13080561,GHG,0.6717593883891231,8786989.657146616
CHN,China,oth_carp,13080561,nutrients,0.0837671208625867,1095720.934237438
CHN,China,oth_carp,13080561,water,1735.33249326422,22699122533.424717
CHN,China,hypoph_carp,6950765,disturbance,0.00206835365712059,14376.640207535796
CHN,China,hypoph_carp,6950765,GHG,0.564982994641583,3927064.0247499025
CHN,China,hypoph_carp,6950765,nutrients,0.023899532557990398,166120.03442044012
CHN,China,hypoph_carp,6950765,water,4949.34535538124,34401736469.09648
IND,India,oth_carp,3648850,disturbance,6.90874724869731e-4,2520.898239840918
IND,India,oth_carp,3648850,GHG,0.6717593883891231,2451149.244323652
IND,India,oth_carp,3648850,nutrients,0.0837671208625867,305653.65895944944
IND,India,oth_carp,3648850,water,1735.33249326422,6331967968.047149
CHN,China,catfish,3416121,disturbance,4.14988295741006e-4,1417.650231835061
CHN,China,catfish,3416121,GHG,0.31608345108251096,1079779.3149954383
CHN,China,catfish,3416121,nutrients,0.07757222970698771,264996.12291886454
CHN,China,catfish,3416121,water,905.754070994668,3094165502.7603765
IDN,Indonesia,catfish,2015988,disturbance,4.14988295741006e-4,836.6114243543192
IDN,Indonesia,catfish,2015988,GHG,0.31608345108251096,637220.4443809291
IDN,Indonesia,catfish,2015988,nutrients,0.07757222970698771,156384.68422253075
IDN,Indonesia,catfish,2015988,water,905.754070994668,1825989338.0763988
VNM,Vietnam,catfish,1774869.2999999998,disturbance,4.14988295741006e-4,736.5499859700323
VNM,Vietnam,catfish,1774869.2999999998,GHG,0.31608345108251096,561006.8135644004
VNM,Vietnam,catfish,1774869.2999999998,nutrients,0.07757222970698771,137680.56903948047
VNM,Vietnam,catfish,1774869.2999999998,water,905.754070994668,1607595093.9584565
CHN,China,tilapia,1584680,disturbance,5.829632507368969e-4,923.8102041777457
CHN,China,tilapia,1584680,GHG,0.483575263722461,766312.0489157095
CHN,China,tilapia,1584680,nutrients,0.07873617323421304,124771.63900079273
CHN,China,tilapia,1584680,water,279.400869039548,442760969.14959097
IND,India,catfish,1411883,disturbance,4.14988295741006e-4,585.9149199556988
IND,India,catfish,1411883,GHG,0.31608345108251096,446272.8511647288
IND,India,catfish,1411883,nutrients,0.07757222970698771,109522.91239539093
IND,India,catfish,1411883,water,905.754070994668,1278818775.0181649
IDN,Indonesia,tilapia,1271215,disturbance,5.829632507368969e-4,741.0716287855043
IDN,Indonesia,tilapia,1271215,GHG,0.483575263722461,614728.1288729482
IDN,Indonesia,tilapia,1271215,nutrients,0.07873617323421304,100090.60445793014
IDN,Indonesia,tilapia,1271215,water,279.400869039548,355178575.736109
BGD,Bangladesh,oth_carp,918744,disturbance,6.90874724869731e-4,634.7370082257162
BGD,Bangladesh,oth_carp,918744,GHG,0.6717593883891231,617174.9075261765
BGD,Bangladesh,oth_carp,918744,nutrients,0.0837671208625867,76960.53968977636
BGD,Bangladesh,oth_carp,918744,water,1735.33249326422,1594326316.1915424
MMR,Myanmar (Burma),oth_carp,832663.34,disturbance,6.90874724869731e-4,575.2660559316113
MMR,Myanmar (Burma),oth_carp,832663.34,GHG,0.6717593883891231,559349.4160124444
MMR,Myanmar (Burma),oth_carp,832663.34,nutrients,0.0837671208625867,69749.81063962512
MMR,Myanmar (Burma),oth_carp,832663.34,water,1735.33249326422,1444947749.8519127
BGD,Bangladesh,catfish,603529,disturbance,4.14988295741006e-4,250.4574711402736
BGD,Bangladesh,catfish,603529,GHG,0.31608345108251096,190765.52914837675
BGD,Bangladesh,catfish,603529,nutrients,0.07757222970698771,46817.090222828585
BGD,Bangladesh,catfish,603529,water,905.754070994668,546648848.713341
VNM,Vietnam,oth_carp,509253.64,disturbance,6.90874724869731e-4,351.83046842390905
VNM,Vietnam,oth_carp,509253.64,GHG,0.6717593883891231,342095.9137413347
VNM,Vietnam,oth_carp,509253.64,nutrients,0.0837671208625867,42658.711211592214
VNM,Vietnam,oth_carp,509253.64,water,1735.33249326422,883724388.8050795
IDN,Indonesia,oth_carp,389711,disturbance,6.90874724869731e-4,269.2414799037077
IDN,Indonesia,oth_carp,389711,GHG,0.6717593883891231,261792.02300851356
IDN,Indonesia,oth_carp,389711,nutrients,0.0837671208625867,32644.968438479526
IDN,Indonesia,oth_carp,389711,water,1735.33249326422,676278161.2824924
IND,India,hypoph_carp,385000,disturbance,0.00206835365712059,796.3161579914271
IND,India,hypoph_carp,385000,GHG,0.564982994641583,217518.45293700945
IND,India,hypoph_carp,385000,nutrients,0.023899532557990398,9201.320034826304
IND,India,hypoph_carp,385000,water,4949.34535538124,1905497961.8217773
BGD,Bangladesh,tilapia,334513,disturbance,5.829632507368969e-4,195.0087858937516
BGD,Bangladesh,tilapia,334513,GHG,0.483575263722461,161762.2121935916
BGD,Bangladesh,tilapia,334513,nutrients,0.07873617323421304,26338.27351709631
BGD,Bangladesh,tilapia,334513,water,279.400869039548,93463222.90502633
BRA,Brazil,tilapia,281311.357,disturbance,5.829632507368969e-4,163.99418314592774
BRA,Brazil,tilapia,281311.357,GHG,0.483575263722461,136035.21364939839
BRA,Brazil,tilapia,281311.357,nutrients,0.07873617323421304,22149.37973750355
BRA,Brazil,tilapia,281311.357,water,279.400869039548,78598637.61649454
PHL,Philippines,tilapia,249188.69999999998,disturbance,5.829632507368969e-4,145.26785459890138
PHL,Philippines,tilapia,249188.69999999998,GHG,0.483575263722461,120501.49131915721
PHL,Philippines,tilapia,249188.69999999998,nutrients,0.07873617323421304,19620.164651208343
PHL,Philippines,tilapia,249188.69999999998,water,279.400869039548,69623539.33483522
NGA,Nigeria,catfish,248310,disturbance,4.14988295741006e-4,103.04574371544919
NGA,Nigeria,catfish,248310,GHG,0.31608345108251096,78486.6817382983
NGA,Nigeria,catfish,248310,nutrients,0.07757222970698771,19261.960358542117
NGA,Nigeria,catfish,248310,water,905.754070994668,224907793.36868602
VNM,Vietnam,tilapia,235310.88,disturbance,5.829632507368969e-4,137.17759553855987
VNM,Vietnam,tilapia,235310.88,GHG,0.483575263722461,113790.52085276438
